brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination,crawl_date,checked_baggage,hand_luggage
Vietnam Airlines,1.941.057 VND/khách,21:10,01 thg 5,01 thg 5,22:10,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",15-04-2025,,
VietJet Air,1.693.755 VND/khách,09:55,01 thg 5,01 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",15-04-2025,,
VietJet Air,1.693.755 VND/khách,15:35,01 thg 5,01 thg 5,16:30,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",15-04-2025,,
Bamboo Airways,1.749.675 VND/khách,16:45,01 thg 5,01 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",15-04-2025,,
Vietnam Airlines,1.945.053 VND/khách,05:45,01 thg 5,01 thg 5,06:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",15-04-2025,,
Vietnam Airlines,1.935.150 VND/khách,05:45,01 thg 5,01 thg 5,06:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",16-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
VietJet Air,1.740.176 VND/khách,09:55,01 thg 5,01 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",16-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,1.740.176 VND/khách,15:35,01 thg 5,01 thg 5,16:30,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",16-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Bamboo Airways,1.749.675 VND/khách,16:45,01 thg 5,01 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",16-04-2025,Hành lý 20 kg,Hành lý xách tay 7 kg
Vietnam Airlines,1.935.150 VND/khách,21:10,01 thg 5,01 thg 5,22:10,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",16-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,2.000.250 VND/khách,08:55,01 thg 5,01 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",16-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.944.054 VND/khách,21:10,01 thg 5,01 thg 5,22:10,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",17-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Bamboo Airways,1.564.488 VND/khách,16:45,01 thg 5,01 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",17-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,1.577.048 VND/khách,09:55,01 thg 5,01 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",17-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,1.577.048 VND/khách,15:35,01 thg 5,01 thg 5,16:30,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",17-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,1.769.229 VND/khách,08:55,01 thg 5,01 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",17-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Bamboo Airways,1.545.332 VND/khách,16:45,01 thg 5,01 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,1.617.945 VND/khách,09:55,01 thg 5,01 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,1.617.945 VND/khách,15:35,01 thg 5,01 thg 5,16:30,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,1.705.293 VND/khách,05:45,01 thg 5,01 thg 5,06:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.705.293 VND/khách,21:10,01 thg 5,01 thg 5,22:10,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Bamboo Airways,1.436.148 VND/khách,16:45,01 thg 5,01 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
VietJet Air,1.612.958 VND/khách,15:35,01 thg 5,01 thg 5,16:30,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Vietnam Airlines,1.690.308 VND/khách,21:10,01 thg 5,01 thg 5,22:10,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Vietnam Airlines,1.701.297 VND/khách,05:45,01 thg 5,01 thg 5,06:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
VietJet Air,1.840.388 VND/khách,09:55,01 thg 5,01 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Bamboo Airways,1.475.759 VND/khách,16:45,01 thg 5,01 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,1.599.990 VND/khách,15:35,01 thg 5,01 thg 5,16:30,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,1.688.310 VND/khách,21:10,01 thg 5,01 thg 5,22:10,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.703.295 VND/khách,05:45,01 thg 5,01 thg 5,06:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
VietJet Air,1.827.420 VND/khách,09:55,01 thg 5,01 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Bamboo Airways,1.572.350 VND/khách,16:45,02 thg 5,02 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",12-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,1.424.000 VND/khách,09:55,02 thg 5,02 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",12-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,1.424.000 VND/khách,15:35,02 thg 5,02 thg 5,16:30,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",12-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,1.851.147 VND/khách,21:10,02 thg 5,02 thg 5,22:10,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",12-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.884.114 VND/khách,05:45,02 thg 5,02 thg 5,06:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",12-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.995.003 VND/khách,10:15,02 thg 5,02 thg 5,11:10,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",12-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Bamboo Airways,1.572.350 VND/khách,16:45,02 thg 5,02 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",13-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,1.425.835 VND/khách,09:55,02 thg 5,02 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",13-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,1.425.835 VND/khách,15:35,02 thg 5,02 thg 5,16:30,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",13-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,1.853.145 VND/khách,21:10,02 thg 5,02 thg 5,22:10,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",13-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.886.112 VND/khách,05:45,02 thg 5,02 thg 5,06:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",13-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,2.011.986 VND/khách,08:55,02 thg 5,02 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",13-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.605.393 VND/khách,05:45,02 thg 5,02 thg 5,06:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",14-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
VietJet Air,1.397.498 VND/khách,09:55,02 thg 5,02 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",14-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,1.397.498 VND/khách,15:35,02 thg 5,02 thg 5,16:30,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",14-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Bamboo Airways,1.483.175 VND/khách,16:45,02 thg 5,02 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",14-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,1.605.393 VND/khách,21:10,02 thg 5,02 thg 5,22:10,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",14-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.675.323 VND/khách,10:15,02 thg 5,02 thg 5,11:10,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",14-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.608.390 VND/khách,21:10,02 thg 5,02 thg 5,22:10,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",15-04-2025,,
VietJet Air,1.401.488 VND/khách,09:55,02 thg 5,02 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",15-04-2025,,
VietJet Air,1.401.488 VND/khách,15:35,02 thg 5,02 thg 5,16:30,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",15-04-2025,,
Bamboo Airways,1.483.175 VND/khách,16:45,02 thg 5,02 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",15-04-2025,,
Vietnam Airlines,1.611.387 VND/khách,05:45,02 thg 5,02 thg 5,06:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",15-04-2025,,
Vietnam Airlines,1.715.283 VND/khách,10:15,02 thg 5,02 thg 5,11:10,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",15-04-2025,,
Vietnam Airlines,1.493.100 VND/khách,05:45,02 thg 5,02 thg 5,06:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",16-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Bamboo Airways,1.383.750 VND/khách,16:45,02 thg 5,02 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",16-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,1.445.443 VND/khách,15:35,02 thg 5,02 thg 5,16:30,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",16-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,1.594.950 VND/khách,21:10,02 thg 5,02 thg 5,22:10,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",16-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.696.800 VND/khách,10:15,02 thg 5,02 thg 5,11:10,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",16-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
VietJet Air,1.946.434 VND/khách,09:55,02 thg 5,02 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",16-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,1.487.511 VND/khách,05:45,02 thg 5,02 thg 5,06:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",17-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Bamboo Airways,1.383.750 VND/khách,16:45,02 thg 5,02 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",17-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,1.401.488 VND/khách,09:55,02 thg 5,02 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",17-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,1.401.488 VND/khách,15:35,02 thg 5,02 thg 5,16:30,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",17-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,1.487.511 VND/khách,21:10,02 thg 5,02 thg 5,22:10,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",17-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.602.396 VND/khách,08:55,02 thg 5,02 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",17-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Bamboo Airways,1.172.143 VND/khách,16:45,02 thg 5,02 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,1.149.849 VND/khách,08:55,02 thg 5,02 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
VietJet Air,1.182.038 VND/khách,09:55,02 thg 5,02 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,1.182.038 VND/khách,15:35,02 thg 5,02 thg 5,16:30,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,1.490.508 VND/khách,21:10,02 thg 5,02 thg 5,22:10,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.497.501 VND/khách,05:45,02 thg 5,02 thg 5,06:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Bamboo Airways,761.248 VND/khách,16:45,02 thg 5,02 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
VietJet Air,829.920 VND/khách,09:55,02 thg 5,02 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
VietJet Air,829.920 VND/khách,15:35,02 thg 5,02 thg 5,16:30,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Vietnam Airlines,1.155.843 VND/khách,08:55,02 thg 5,02 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Vietnam Airlines,1.484.514 VND/khách,21:10,02 thg 5,02 thg 5,22:10,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Vietnam Airlines,1.495.503 VND/khách,05:45,02 thg 5,02 thg 5,06:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Bamboo Airways,782.244 VND/khách,16:45,02 thg 5,02 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
